percentile,flowsize,xtick
0.1,6700,6.7K
0.2,20000,20K
0.3,30000,30K
0.4,50000,50K
0.5,73000,73K
0.6,200000,200K
0.7,1000000,1M
0.8,2000000,2M
0.9,5000000,5M
1.0,30000000,30M
