percentile,flowsize,xtick
0.1,324,324
0.2,400,400
0.3,500,500
0.4,600,600
0.5,700,700
0.6,1000,200K
0.7,7000,7K
0.8,46000,46K
0.9,120000,120K
1.0,10000000,10M
